sku,loja_sync,last_update,id_bling,nome_bling,situacao_bling,ncm_bling,saldo_loja,saldo_full
MLB2715347850,Multimarcas,30/04/2026 16:11,16613795828,"Bomba D'agua Solar, Aquario, Alta Pressão 12v/24v Dc 19w Mo",A,,0.0,0.0
MLB2715330273,Multimarcas,30/04/2026 16:11,16613795809,"Bomba D'agua Solar, Aquario, Alta Pressão 12v Dc 19w Mo",A,,0.0,0.0
MLB1181512611,Multimarcas,30/04/2026 16:11,16613795773,"Bomba D'agua Solar, Aquario, Alta Pressão 12v/24v Dc 19w",A,,0.0,0.0
1617,Multimarcas,30/04/2026 16:11,16612342294,Kit Botão Câmbio Honda Accord 94 À 02 Com Mola 54132s84a81za,A,,0.0,0.0
309.1,Multimarcas,30/04/2026 16:11,16608652906,Válvula Reguladora 9109-930a Usada,A,,0.0,0.0
shopee-250-k,Multimarcas,30/04/2026 16:11,16604799239,Tampa Parachoque Esguicho Farol Azera ( Par ),A,,99.0,102.0
008-K,Multimarcas,30/04/2026 16:11,16597660232,Base + Antena para Carros 1087087,A,,0.0,0.0
484-2,Multimarcas,30/04/2026 16:11,16563460497,"Cadeira de escritório azul, Material: Metal e Plástico, Caixa de papelão",A,,15.0,0.0
484-1,Multimarcas,30/04/2026 16:11,16563459473,"Cadeira de escritório preta, Material: Metal e Plástico, caixa de papelão",A,,12.0,0.0
479-K5,Multimarcas,30/04/2026 16:11,16536850133,5 Mochila Flexível Anti-incêndio 20l,A,,0.0,0.0
479-K3,Multimarcas,30/04/2026 16:11,16536850052,3 Mochila Flexível Anti-incêndio 20l,A,,0.0,0.0
479-K,Multimarcas,30/04/2026 16:11,16536849894,2 Mochila Flexível Anti-incêndio 20l,A,,0.0,0.0
307-K,Multimarcas,30/04/2026 16:11,16508868111,Carcaça Válvula Termostática + Chicote + Sensor 308 3008 408 C4 Ds3 1.6 Thp,A,,20.0,0.0
307-2,Multimarcas,30/04/2026 16:11,16508866362,Chicote da Carcaça Válvula Termostática 308 3008 408 C4 Ds3 1.6 Thp,A,,43.0,0.0
008-1,Multimarcas,30/04/2026 16:11,16498592773,Antena para Carros 1087087,A,,130.0,0.0
008-Kitt,Multimarcas,30/04/2026 16:11,16498212232,Base + Antena para Carros 1087087,A,,0.0,0.0
94-4,Multimarcas,30/04/2026 16:11,16491683564,Emblema Lateral VW Logo: Fumê,A,,0.0,0.0
480,Multimarcas,30/04/2026 16:11,16444748802,"Motor Redutor Motoredutor 12v,  ZD2560R-12V, 40RPM",A,,3.0,1.0
482,Multimarcas,30/04/2026 16:11,16444746939,"Motor Redutor Motoredutor 12v ZD2560R-12V, 60RPM",A,,0.0,100.0
481,Multimarcas,30/04/2026 16:11,16444745851,"Motor Redutor Motoredutor 12v, ZD2560R-12V, 20RPM",A,,3.0,2.0
477,Multimarcas,30/04/2026 16:11,16444743051,Motor 12v Dc 90 Rpm Com Caixa De Redução 90rpm ZDS1510L,A,,0.0,0.0
475,Multimarcas,30/04/2026 16:11,16444741656,"Motor Redutor Motoredutor 24v Dc 160 Rpm 100501924, Sinomore motor: ZD2802, 24V 160RPM",A,,0.0,101.0
476,Multimarcas,30/04/2026 16:11,16444741172,Motor 12v Dc 45 Rpm Com Caixa De Redução 45rpm,A,,0.0,2.0
474,Multimarcas,30/04/2026 16:11,16444646439,"Motor Redutor Motoredutor 24v Dc 82 Rpm (100501924, Sinomore motor: ZD2802, 24V 82RPM)",A,,21.0,0.0
423-2,Multimarcas,30/04/2026 16:11,16375815438,Proteção Farol BMW1200 Fumê,A,,77.0,5.0
479,Multimarcas,30/04/2026 16:11,16371838569,Mochila Flexível Anti-incêndio 20l,A,,0.0,0.0
447,Multimarcas,30/04/2026 16:11,16371834403,Porta Luvas Polo Maçaneta Puxador Acionador 2003 A 2014 Vw,A,,0.0,0.0
471,Multimarcas,30/04/2026 16:11,16371830809,Painel Digital Completo Honda Cg 160 Fan 2018 2019 2020,A,,6.0,0.0
469,Multimarcas,30/04/2026 16:11,16371824986,Atuador Inteligente Wifi Válvula Registro Água E Gás Alexa,A,,0.0,0.0
420,Multimarcas,30/04/2026 16:11,16348599554,Brake Light Luz Freio Traseiro P/ Vw Polo Hatch 6QE945097,A,,5.0,15.0
468,Multimarcas,30/04/2026 16:11,16347056477,Comando Vidro Elétrico 935701s005,A,,0.0,0.0
467,Multimarcas,30/04/2026 16:11,16347049972,Valvula Diafragma Peugeot E Citroen Thp Flex 308 C4 3008,A,,0.0,2.0
462,Multimarcas,30/04/2026 16:11,16346991899,Sensor Terminal Polo Bateria Fiat Toro Freemont Jeep Compas,A,,4.0,4.0
435-K,Multimarcas,30/04/2026 16:11,16321508252,Par Pisca Retrovisor Hyundai Ix35,A,,0.0,2.0
308-1,Multimarcas,30/04/2026 16:11,16304832276,Capa Maçaneta cromada para Toyota Corolla 2015 Á 2019,A,,5.0,0.0
465,Multimarcas,30/04/2026 16:11,16294413441,Adaptador de Mergulho Primeiro Estágio,A,,0.0,0.0
442,Multimarcas,30/04/2026 16:11,16277340006,Macaco Pneumático Tipo Bolsa 3 Gomos - 3 Toneladas,A,,197.0,0.0
414,Multimarcas,30/04/2026 16:11,16259957684,Creme Clareador Natural Manchas Variadas E Melasma,A,,0.0,0.0
434,Multimarcas,30/04/2026 16:11,16257679220,Atuador Motor Trava Fechadura Porta Malas Ecosport 2013-2020,A,,3.0,3.0
407-2,Multimarcas,30/04/2026 16:11,16236632264,Relógio Temperatura Umidade Termo-higrômetro Digital,A,,0.0,0.0
407-1,Multimarcas,30/04/2026 16:11,16187352828,Sensor De Temperatura E Umidade Wi-fi - Alexa E Google Home de MESA,A,,0.0,0.0
322-34,Multimarcas,30/04/2026 16:11,16187348903,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 104mm,A,,1.0,0.0
435-2,Multimarcas,30/04/2026 16:11,16183949463,Pisca Retrovisor Hyundai Ix35 Lado Esquerdo,A,,9.0,4.0
435-1,Multimarcas,30/04/2026 16:11,16183947085,Pisca Retrovisor Hyundai Ix35 Lado Direito,A,,0.0,2.0
313-K,Multimarcas,30/04/2026 16:11,16130807392,Kit Esteira Trilho Alavanca da tração e câmbio Pajero Full,A,,1.0,0.0
313-1,Multimarcas,30/04/2026 16:11,16130806809,Esteira Trilho Alavanca da tração Pajero Full,A,,7.0,0.0
364,Multimarcas,30/04/2026 16:11,16118528004,Adaptador Sem Fio Wireless Qi Indução Receptor Universal,A,,0.0,0.0
ICMS ST,Multimarcas,30/04/2026 16:11,16118525648,Complemento de ICMS ST,A,,0.0,0.0
239,Multimarcas,30/04/2026 16:11,16118524889,Olho De Gato Refletor Para-choque Traseiro Bmw 320i,A,,0.0,0.0
4-2,Multimarcas,30/04/2026 16:11,16100343238,Manopla Marcha Cambio  2008 2013 Preta 6 machas,A,,0.0,0.0
423,Multimarcas,30/04/2026 16:11,16099067230,Protetor De Farol Bmw R1200gs R1250gs Lc Policarbonato,A,,42.0,2.0
257-1,Multimarcas,30/04/2026 16:11,16096779962,Botão Vidro Eletrico 9065451913,A,,93.0,3.0
320-1,Multimarcas,30/04/2026 16:11,16060435095,Par Lâmpada Xenon Hid D1s 8000k,A,,0.0,0.0
417,Multimarcas,30/04/2026 16:11,16025973833,Radiador De Arrefecimento 1301100U8160,A,,0.0,0.0
178-K,Multimarcas,30/04/2026 16:11,15994974936,Ponteira Escapamento Cromada Inox (Par),A,,0.0,0.0
415,Multimarcas,30/04/2026 16:11,15986843031,Tela Touch Screen Multimídia A211216702,A,,1.0,100.0
416,Multimarcas,30/04/2026 16:11,15982194125,Friso Cromado Moldura Grade Civic,A,,0.0,0.0
413,Multimarcas,30/04/2026 16:11,15964386765,Válvula Reguladora de Pressão - 3/4 Deckas 9666,A,,0.0,0.0
271,Multimarcas,30/04/2026 16:11,15960917214,Mangueira Ar Quente Superior Citroen 6466tz,A,,0.0,0.0
351,Multimarcas,30/04/2026 16:11,15959362361,Bóia Sensor Nivel Combustível Tanque Outlander,A,,0.0,0.0
412,Multimarcas,30/04/2026 16:11,15959152903,Enxada Rotativa Aradora Para Roçadeiras 360mm ST178,A,,0.0,0.0
411,Multimarcas,30/04/2026 16:11,15959152902,Carburador PZ19 CB0005G,A,,0.0,0.0
368,Multimarcas,30/04/2026 16:11,15950917866,Atuador Marcha Lenta Toyota Corolla 1.8 16v 2002 2008,A,,0.0,101.0
350-1,Multimarcas,30/04/2026 16:11,15950561314,Tapete De Água Inflável Atividades Almofada Infantil Bebê Sem borda,A,,0.0,0.0
302,Multimarcas,30/04/2026 16:11,15949899738,Scanner Automotivo Konnwei Kw903 Bluetooth Obd2 Can-bus Pe,A,,0.0,1.0
237,Multimarcas,30/04/2026 16:11,15949855616,Reator Farol Lampada Xenon D3s A2229003300 Q04,A,,0.0,0.0
280-K,Multimarcas,30/04/2026 16:11,15948913921,Retentor Do Comando De Valvulas 55563374 2un,A,,4.0,52.0
19-1,Multimarcas,30/04/2026 16:11,15948454163,Manopla De Câmbio Automático,A,,0.0,0.0
384,Multimarcas,30/04/2026 16:11,15948448582,Mangueira Intercooler Turbina 144635X02B 144635X00B 144635X04B,A,,0.0,0.0
399,Multimarcas,30/04/2026 16:11,15948448581,Radiador 20S-12461-01-00,A,,0.0,0.0
32-K,Multimarcas,30/04/2026 16:11,15948448580,Radiador Honda Cb 600 Hornet 2005 2006 2007 + Cebolinha,A,,0.0,0.0
160-K,Multimarcas,30/04/2026 16:11,15948448579,Acessórios Ponteira Escapamento PAR,A,,0.0,0.0
70-K,Multimarcas,30/04/2026 16:11,15948448578,70 Roda Livre Automatica Original Par,A,,38.0,67.0
124,Multimarcas,30/04/2026 16:11,15948448577,Espanta Cachorro Repelente Eletrônico Preto,A,,0.0,113.0
18,Multimarcas,30/04/2026 16:11,15948448575,Gasolina Bomba Gasolina 0986580951,A,,0.0,1.0
124-1,Multimarcas,30/04/2026 16:11,15948448574,Aparelho Anti Latido Ultrasonico Apito Adestramento Cães,A,,1.0,104.0
Mini Bomba,Multimarcas,30/04/2026 16:11,15948448572,Mini Bomba D'água,A,,0.0,0.0
160,Multimarcas,30/04/2026 16:11,15948448571,Acessórios Ponteira Escapamento S,A,,0.0,0.0
32,Multimarcas,30/04/2026 16:11,15948448570,Radiador Honda Cb 600 Hornet 2005 2006 2007,A,,0.0,0.0
53,Multimarcas,30/04/2026 16:11,15948448569,Mangueira Filtro Ar Tbi Sentra 2.0 2007 2008 DECKAS,A,,139.0,1.0
